2024-09-26 10:27:59,291 - INFO - FileInfo(name='.idea', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,293 - INFO - FileInfo(name='.venv', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,293 - INFO - FileInfo(name='fiinal12', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,293 - INFO - FileInfo(name='lesson1', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,293 - INFO - FileInfo(name='lesson10', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,293 - INFO - FileInfo(name='lesson11', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,294 - INFO - FileInfo(name='lesson2', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,294 - INFO - FileInfo(name='lesson3', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,294 - INFO - FileInfo(name='lesson4', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,294 - INFO - FileInfo(name='lesson5', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,294 - INFO - FileInfo(name='lesson6', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,295 - INFO - FileInfo(name='lesson7', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,295 - INFO - FileInfo(name='lesson8', ext='', is_dir=True, parent_dir='')
2024-09-26 10:27:59,295 - INFO - FileInfo(name='lesson9', ext='', is_dir=True, parent_dir='')
2024-09-26 10:28:31,142 - INFO - FileInfo(name='cmd', ext='.py', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,142 - INFO - FileInfo(name='date_now_dayWeek_weekNum', ext='.py', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,142 - INFO - FileInfo(name='day_in_future', ext='.py', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,142 - INFO - FileInfo(name='info', ext='.log', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,142 - INFO - FileInfo(name='loger', ext='.py', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,143 - INFO - FileInfo(name='logger', ext='.py', is_dir=False, parent_dir='.')
2024-09-26 10:28:31,143 - INFO - FileInfo(name='__pycache__', ext='', is_dir=True, parent_dir='.')
